REGIAO,UF,ESTACAO,CODIGO (WMO),LATITUDE,LONGITUDE,ALTITUDE,DATA DE FUNDACAO
SE,RJ,TERESOPOLIS-PARQUE NACIONAL,A618,-22.4486111,-42.98694444,981.0,01/11/06
SE,RJ,PARATY,A619,-23.2236111,-44.72694443,3.0,19/11/06
SE,RJ,CAMPOS DOS GOYTACAZES - SAO TOME,A620,-22.04166666,-41.05166666,7.0,13/06/08
SE,RJ,RIO DE JANEIRO - VILA MILITAR,A621,-22.86138888,-43.41138888,30.43,13/04/07
SE,RJ,NOVA FRIBURGO - SALINAS,A624,-22.33472221,-42.67694443,1070.0,18/09/10
SE,RJ,TRES RIOS,A625,-22.09833333,-43.20833333,295.0,08/06/16
SE,RJ,RIO CLARO,A626,-22.653579,-44.040916,516.0,03/06/16
SE,RJ,NITEROI,A627,-22.86749999,-43.10194444,6.0,13/07/18
SE,RJ,ANGRA DOS REIS,A628,-22.97555554,-44.30333333,6.0,25/08/17
SE,RJ,RIO DE JANEIRO - JACAREPAGUA,A636,-22.93999999,-43.40277777,20.0,10/08/17
SE,RJ,RIO DE JANEIRO - FORTE DE COPACABANA,A652,-22.98833333,-43.19055555,25.59,18/05/07
SE,SP,SAO PAULO - MIRANTE,A701,-23.49638888,-46.61999999,785.64,25/07/06
SE,SP,BAURU,A705,-22.358052,-49.028877,636.17,30/08/01
SE,SP,CAMPOS DO JORDAO,A706,-22.75027777,-45.60388888,1662.95,13/03/02
SE,SP,PRESIDENTE PRUDENTE,A707,-22.11999999,-51.40861111,431.92,04/02/03
SE,SP,FRANCA,A708,-20.58444444,-47.38249999,1002.74,12/12/02
SE,SP,SAO CARLOS,A711,-21.980353,-47.883927,859.29,04/09/06
SE,SP,IGUAPE,A712,-24.67166666,-47.54583333,2.7,20/07/06
SE,SP,ITAPEVA,A714,-23.98194443,-48.88583333,743.33,25/07/06
SE,SP,PIRACICABA,A726,-22.70305555,-47.62333332,566.46,26/09/06
SE,SP,TAUBATE,A728,-23.04166666,-45.52083332,582.26,20/12/06
SE,SP,JOSE BONIFACIO,A735,-21.08555555,-49.92027777,408.35,03/09/07
SE,SP,IBITINGA,A737,-21.85555555,-48.79972221,496.75,09/11/07
SE,SP,CASA BRANCA,A738,-21.78055554,-47.07527777,734.15,25/06/07
SE,SP,SAO LUIZ DO PARAITINGA,A740,-23.22833332,-45.41694443,862.3,01/11/07
SE,SP,BRAGANCA PAULISTA,A744,-22.95194444,-46.53055554,891.0,20/12/17
SE,SP,PRADOPOLIS,A747,-21.33833333,-48.11388888,540.41,22/04/08
SE,SP,ITUVERAVA,A753,-20.35972222,-47.77527777,610.58,17/07/08
SE,SP,BARUERI,A755,-23.52388888,-46.86944443,776.5,29/03/11
SE,SP,DRACENA,A762,-21.45777777,-51.55222222,720.0,03/11/16
SE,SP,MARILIA,A763,-22.235222,-49.965111,660.0,15/05/17
SE,SP,BERTIOGA,A765,-23.84472221,-46.14333333,5.0,01/02/17
SE,SP,REGISTRO,A766,-24.53305554,-47.86416666,35.0,09/02/17
SE,SP,TUPA,A768,-21.927251,-50.490251,498.0,12/05/17
SE,SP,CACHOEIRA PAULISTA,A769,-22.68888888,-45.00555555,586.0,20/10/17
SE,SP,SAO SIMAO,A770,-21.46111111,-47.57944443,620.0,03/07/19
SE,SP,SAO PAULO - INTERLAGOS,A771,-23.724501,-46.677501,771.0,14/03/18
S,PR,CURITIBA,A807,-25.4486111,-49.23055554,922.91,28/01/03
S,PR,MAL. CANDIDO RONDON,A820,-24.53333333,-54.01916666,392.07,18/11/06
S,PR,INACIO MARTINS,A823,-25.567879,-51.077946,1208.85,16/10/06
S,PR,GOIOERE,A825,-24.18388888,-53.04888888,481.0,19/10/06
S,PR,MARINGA,A835,-23.40527777,-51.93277777,548.51,21/11/06
S,PR,FOZ DO IGUACU,A846,-25.60194444,-54.48305554,235.09,15/02/08
S,PR,COLOMBO,B806,-25.322464,-49.157733,950.0,01/06/16
S,RS,PORTO ALEGRE - JARDIM BOTANICO,A801,-30.05361111,-51.17472221,41.18,22/09/00
S,RS,RIO GRANDE,A802,-32.07888888,-52.16777777,4.92,16/11/01
S,RS,SANTA MARIA,A803,-29.72499999,-53.72055554,103.1,26/11/01
S,RS,SANTANA DO LIVRAMENTO,A804,-30.75055555,-55.40138888,196.0,22/11/01
S,RS,TORRES,A808,-29.35027777,-49.73333333,8.44,01/06/06
S,RS,URUGUAIANA,A809,-29.83987,-57.081899,74.29,28/09/06
S,RS,SANTA ROSA,A810,-27.89055555,-54.47999999,272.84,15/11/06
S,RS,CACAPAVA DO SUL,A812,-30.54527777,-53.46694443,420.82,22/06/06
S,RS,ALEGRETE,A826,-29.70916666,-55.52555554,120.88,28/09/06
S,RS,BAGE,A827,-31.34777777,-54.01333333,226.19,04/01/07
S,RS,SAO JOSE DOS AUSENTES,A829,-28.7486111,-50.05777777,1228.59,26/10/06
S,RS,SAO GABRIEL,A832,-30.34138888,-54.31083333,114.89,11/07/07
S,RS,PASSO FUNDO,A839,-28.226805,-52.403582,680.67,27/11/06
S,RS,BENTO GONCALVES,A840,-29.164581,-51.534202,623.27,01/12/06
S,RS,LAGOA VERMELHA,A844,-28.222381,-51.512845,833.83,02/03/07
S,RS,SAO LUIZ GONZAGA,A852,-28.41722221,-54.9625,245.5,25/07/07
S,RS,IBIRUBA,A883,-28.65333333,-53.11194444,455.27,13/12/12
S,RS,CAMPO BOM,A884,-29.674293,-51.064042,23.35,29/11/13
S,RS,TUPANCIRETA,A886,-29.0893814,-53.82665025,462.0,11/08/16
S,RS,CAPAO DO LEAO (PELOTAS),A887,-31.8025,-52.40722222,13.0,18/07/19
S,RS,CAMBARA DO SUL,A897,-29.04916666,-50.14972221,1017.0,24/11/16
S,SC,FLORIANOPOLIS,A806,-27.60253,-48.620096,4.87,22/01/03
S,SC,URUSSANGA,A814,-28.53249999,-49.31527777,40.56,29/05/08
S,SC,SAO JOAQUIM,A815,-28.27564,-49.934617,1400.06,12/04/08
S,SC,JOACABA,A841,-27.16916666,-51.55888888,767.63,20/09/07
S,SC,DIONISIO CERQUEIRA,A848,-26.286562,-53.633114,807.54,31/05/08
S,SC,ITAPOA,A851,-26.08138888,-48.64166666,6.18,06/06/07
S,SC,SAO MIGUEL DO OESTE,A857,-26.77638888,-53.50416666,700.0,12/03/08
S,SC,CACADOR,A859,-26.819156,-50.98552,944.26,19/03/08
S,SC,ITUPORANGA,A863,-27.41833332,-49.64694444,479.79,04/03/08
S,SC,MAJOR VIEIRA,A864,-26.3936111,-50.36333333,799.58,09/02/09
S,SC,ARARANGUA,A867,-28.931353,-49.49792,2.0,28/09/08
S,SC,ITAJAI,A868,-26.95083333,-48.76194444,9.76,24/06/10
S,SC,CHAPECO,A895,-27.0853111,-52.6357111,679.0,19/02/19
S,SC,CAMPOS NOVOS,A898,-27.3886111,-51.21583333,963.0,15/02/19
